ENSGID,Condition_A
ENSG00000276410,1.13432604
ENSG00000159713,1.130801978
ENSG00000255986,1.124826331
ENSG00000244586,1.123896621
ENSG00000197903,1.123352685
ENSG00000168282,1.119070392
ENSG00000109738,1.116925162
ENSG00000203814,1.116663825
ENSG00000161133,1.11530336
ENSG00000166426,1.114928815
ENSG00000170961,1.114277829
ENSG00000266402,1.112481184
ENSG00000177432,1.106697943
ENSG00000234618,1.105485068
ENSG00000197956,1.104963532
ENSG00000141574,1.101237316
ENSG00000274333,1.10117609
ENSG00000099250,1.099727235
ENSG00000181524,1.098862806
ENSG00000177459,1.094696115
ENSG00000205221,1.089658897
ENSG00000278771,1.088186711
ENSG00000226539,1.087870532
ENSG00000124610,1.086292909
ENSG00000168148,1.085218826
ENSG00000234825,1.08226215
ENSG00000102048,1.080380926
ENSG00000273802,1.077774279
ENSG00000089505,1.076244511
ENSG00000179546,1.075611262
ENSG00000233822,1.073431845
ENSG00000163344,1.073163566
ENSG00000236279,1.072327689
ENSG00000264350,1.068299181
ENSG00000137672,1.065196077
ENSG00000229117,1.064987705
ENSG00000188010,1.064544879
ENSG00000263563,1.063445299
ENSG00000229525,1.062501616
ENSG00000221818,1.062084621
ENSG00000104435,1.061733048
ENSG00000258670,1.06037769
ENSG00000109099,1.060055342
ENSG00000242419,1.053985132
ENSG00000054598,1.053394103
ENSG00000124635,1.050805257
ENSG00000178573,1.045049922
ENSG00000182379,1.041160754
ENSG00000250654,1.040962386
ENSG00000182687,1.04005237
ENSG00000218426,1.03855489
ENSG00000165474,1.037087983
ENSG00000165973,1.035467544
ENSG00000272157,1.034164686
ENSG00000176386,1.031471768
ENSG00000277075,1.028869771
ENSG00000235489,1.027937819
ENSG00000198729,1.02707531
ENSG00000183617,1.021733937
ENSG00000139211,1.021241372
ENSG00000138823,1.019395087
ENSG00000240087,1.019275629
ENSG00000277224,1.01677197
ENSG00000229637,1.014484578
ENSG00000163673,1.013937203
ENSG00000253626,1.013881801
ENSG00000274641,1.012546212
ENSG00000224863,1.011702076
ENSG00000157150,1.011519426
ENSG00000181218,1.010845361
ENSG00000258359,1.009938511
ENSG00000164929,1.009404267
ENSG00000274997,1.002152108
ENSG00000185155,0.99972447
ENSG00000243449,0.996105523
ENSG00000196767,0.995825263
ENSG00000000005,0.993409337
ENSG00000179348,0.992310184
ENSG00000165084,0.991002232
ENSG00000170315,0.990246953
ENSG00000196787,0.989686808
ENSG00000133135,0.987300728
ENSG00000253203,0.987045472
ENSG00000261783,0.983578694
ENSG00000034510,0.982637011
ENSG00000164972,0.981159138
ENSG00000205362,0.979320067
ENSG00000167552,0.979180449
ENSG00000260747,0.978204918
ENSG00000156096,0.976039662
ENSG00000181201,0.975311962
ENSG00000220793,0.974735265
ENSG00000164683,0.974503304
ENSG00000102271,0.970429304
ENSG00000162367,0.96939621
ENSG00000274750,0.967157868
ENSG00000132821,0.959451232
ENSG00000136732,0.958334911
ENSG00000285825,0.953578547
ENSG00000005108,0.952661046
ENSG00000149806,0.951767913
ENSG00000174749,0.951100863
ENSG00000156574,0.94948187
ENSG00000150594,0.946479718
ENSG00000118231,0.943430228
ENSG00000159184,0.942032617
ENSG00000231510,0.94045648
ENSG00000171970,0.937854732
ENSG00000162385,0.935591849
ENSG00000164879,0.933937373
ENSG00000170955,0.932215996
ENSG00000182117,0.93143689
ENSG00000109220,0.931352087
ENSG00000152804,0.930670547
ENSG00000198354,0.930381362
ENSG00000242659,0.929131986
ENSG00000139239,0.928712231
ENSG00000270882,0.926859844
ENSG00000173093,0.923384224
ENSG00000256073,0.922257824
ENSG00000101084,0.921916751
ENSG00000131094,0.921110499
ENSG00000158716,0.920110673
ENSG00000085276,0.919897359
ENSG00000274618,0.916990897
ENSG00000159231,0.916882166
ENSG00000204253,0.916803206
ENSG00000234665,0.912137997
ENSG00000146677,0.911013839
ENSG00000143320,0.910223839
ENSG00000188013,0.909248258
ENSG00000231500,0.908207282
ENSG00000137154,0.90737557
ENSG00000227063,0.90536086
ENSG00000165475,0.904054567
ENSG00000168298,0.902806625
ENSG00000142534,0.901897528
ENSG00000184924,0.898888413
ENSG00000269378,0.897677677
ENSG00000076641,0.896189689
ENSG00000184344,0.894909745
ENSG00000205544,0.894715826
ENSG00000117600,0.89275747
ENSG00000164303,0.891409607
ENSG00000107831,0.891266074
ENSG00000034533,0.888050703
ENSG00000185527,0.886688855
ENSG00000145425,0.885845235
ENSG00000128408,0.884732586
ENSG00000261189,0.884449697
ENSG00000114251,0.883142889
ENSG00000111181,0.882631603
ENSG00000185634,0.881931314
ENSG00000170231,0.879971279
ENSG00000168209,0.877608527
ENSG00000204388,0.877083034
ENSG00000198807,0.876198162
ENSG00000231767,0.875331711
ENSG00000047597,0.874768639
ENSG00000278588,0.871417986
ENSG00000185275,0.869582349
ENSG00000198890,0.869079649
ENSG00000095596,0.868898987
ENSG00000133106,0.867797226
ENSG00000175550,0.867397168
ENSG00000184983,0.86709732
ENSG00000198483,0.867013272
ENSG00000165140,0.864816357
ENSG00000262814,0.864566938
ENSG00000237126,0.863914625
ENSG00000100889,0.863342378
ENSG00000125148,0.862330333
ENSG00000111775,0.861003618
ENSG00000081138,0.860082519
ENSG00000116106,0.859399455
ENSG00000107249,0.857436651
ENSG00000213261,0.857158674
ENSG00000164023,0.857078986
ENSG00000171208,0.856574251
ENSG00000267424,0.855787873
ENSG00000135069,0.855641956
ENSG00000236698,0.854851041
ENSG00000134056,0.854464331
ENSG00000176340,0.853647231
ENSG00000187546,0.852443095
ENSG00000142507,0.850765309
ENSG00000126267,0.848719831
ENSG00000272143,0.848640882
ENSG00000104671,0.848373706
ENSG00000135480,0.848328935
ENSG00000150667,0.847726774
ENSG00000183011,0.847267684
ENSG00000184678,0.847174255
ENSG00000177283,0.846548422
ENSG00000170860,0.845837966
ENSG00000130255,0.845335349
ENSG00000235655,0.844792276
ENSG00000115461,0.84323928
ENSG00000275765,0.843209954
ENSG00000158406,0.84257546
ENSG00000267069,0.838485665
ENSG00000287742,0.836786704
ENSG00000265972,0.835591544
ENSG00000114391,0.834313826
ENSG00000139988,0.833507428
ENSG00000279094,0.833007931
ENSG00000130707,0.83265358
ENSG00000154975,0.831428518
ENSG00000143768,0.82938504
ENSG00000136942,0.828910294
ENSG00000262198,0.828812795
ENSG00000152953,0.82805356
ENSG00000146233,0.827875211
ENSG00000174977,0.827542811
ENSG00000281202,0.827345094
ENSG00000286190,0.826798264
ENSG00000278266,0.824839613
ENSG00000134333,0.822930331
ENSG00000140280,0.822635555
ENSG00000214389,0.821151362
ENSG00000149557,0.820746933
ENSG00000261455,0.820013957
ENSG00000201998,0.819479824
ENSG00000178860,0.819472191
ENSG00000113361,0.817990322
ENSG00000232640,0.81796486
ENSG00000125743,0.81634558
ENSG00000244313,0.815470943
ENSG00000234797,0.815431701
ENSG00000185129,0.815099142
ENSG00000053438,0.81504747
ENSG00000172339,0.81478505
ENSG00000042753,0.814075751
ENSG00000173163,0.812315007
ENSG00000114942,0.81214615
ENSG00000115325,0.812133805
ENSG00000227615,0.810868134
ENSG00000147533,0.807666713
ENSG00000204711,0.806992006
ENSG00000175193,0.806752112
ENSG00000108298,0.806041497
ENSG00000240342,0.805460372
ENSG00000230383,0.805211589
ENSG00000163041,0.805173194
ENSG00000154188,0.804363282
ENSG00000111639,0.803748525
ENSG00000225791,0.801231572
ENSG00000100632,0.800642707
ENSG00000179958,0.800291794
ENSG00000196116,0.79937794
ENSG00000169599,0.799165137
ENSG00000169715,0.79904115
ENSG00000113580,0.798993729
ENSG00000167526,0.798839649
ENSG00000164587,0.79877345
ENSG00000115138,0.798581493
ENSG00000131469,0.797775957
ENSG00000078596,0.797003488
ENSG00000246705,0.795666701
ENSG00000271133,0.794889549
ENSG00000125995,0.794202609
ENSG00000165698,0.793141214
ENSG00000134864,0.792483204
ENSG00000157514,0.792170503
ENSG00000130208,0.79121533
ENSG00000258433,0.790371485
ENSG00000166441,0.790180557
ENSG00000146090,0.789723173
ENSG00000186732,0.789519565
ENSG00000286069,0.789463073
ENSG00000234664,0.78872528
ENSG00000132661,0.788698346
ENSG00000247081,0.788200897
ENSG00000162998,0.78556859
ENSG00000115363,0.785471594
ENSG00000197769,0.784809418
ENSG00000169189,0.784126556
ENSG00000114902,0.783874169
ENSG00000167815,0.783437745
ENSG00000233270,0.78338715
ENSG00000126709,0.783268449
ENSG00000225366,0.783219216
ENSG00000235078,0.783008859
ENSG00000237530,0.78215141
ENSG00000248801,0.780888908
ENSG00000143575,0.780329979
ENSG00000171189,0.780318033
ENSG00000204740,0.780233627
ENSG00000004779,0.779362511
ENSG00000150779,0.778511682
ENSG00000182118,0.777758711
ENSG00000218283,0.776337571
ENSG00000213442,0.775008637
ENSG00000161016,0.773431699
ENSG00000131174,0.773269272
ENSG00000131153,0.772999161
ENSG00000169288,0.771041415
ENSG00000173457,0.770558592
ENSG00000248968,0.769138729
ENSG00000178401,0.768714475
ENSG00000000003,0.768482737
ENSG00000172428,0.768261057
ENSG00000124562,0.767792527
ENSG00000226415,0.767682925
ENSG00000123416,0.767620393
ENSG00000180596,0.765292057
ENSG00000137100,0.764889889
ENSG00000159228,0.764243456
ENSG00000175741,0.7627462
ENSG00000255129,0.762201213
ENSG00000221930,0.761541433
ENSG00000128185,0.760375968
ENSG00000116774,0.760094902
ENSG00000260025,0.760078174
ENSG00000107833,0.75816927
ENSG00000226067,0.757523269
ENSG00000168077,0.756900128
ENSG00000165730,0.756895936
ENSG00000271601,0.755312292
ENSG00000168546,0.754879067
ENSG00000122679,0.754632276
ENSG00000185432,0.754599505
ENSG00000150051,0.754255236
ENSG00000205111,0.754225189
ENSG00000197744,0.752774291
ENSG00000163191,0.752726562
ENSG00000241553,0.751937425
ENSG00000287804,0.751862189
ENSG00000269570,0.751537911
ENSG00000251050,0.750894707
ENSG00000163568,0.75083078
ENSG00000169976,0.750273721
ENSG00000101255,0.749724101
ENSG00000171863,0.749466011
ENSG00000177875,0.749382635
ENSG00000109536,0.748920204
ENSG00000199436,0.748779269
ENSG00000132429,0.74856137
ENSG00000105974,0.747742682
ENSG00000272989,0.747635501
ENSG00000106804,0.747418037
ENSG00000275964,0.74714678
ENSG00000198121,0.747044481
ENSG00000185973,0.745067526
ENSG00000167705,0.744971355
ENSG00000170485,0.744968846
ENSG00000149923,0.744795701
ENSG00000040633,0.744534724
ENSG00000124733,0.74447892
ENSG00000172301,0.743989752
ENSG00000187840,0.743945592
ENSG00000100823,0.743929868
ENSG00000129235,0.743902107
ENSG00000175868,0.743883541
ENSG00000138190,0.743353862
ENSG00000269993,0.742746982
ENSG00000146733,0.741457307
ENSG00000164885,0.741373241
ENSG00000185149,0.740886651
ENSG00000273542,0.740170157
ENSG00000123131,0.739920158
ENSG00000196544,0.739646643
ENSG00000102195,0.739284209
ENSG00000172059,0.738794315
ENSG00000183978,0.738299328
ENSG00000147123,0.737417559
ENSG00000180340,0.736596772
ENSG00000125384,0.735951011
ENSG00000174547,0.735458244
ENSG00000099385,0.734778942
ENSG00000178458,0.734149459
ENSG00000182866,0.733985418
ENSG00000115268,0.732918754
ENSG00000023697,0.732783133
ENSG00000148834,0.732405524
ENSG00000180537,0.732277144
ENSG00000075388,0.731550925
ENSG00000203711,0.73144197
ENSG00000143158,0.731278776
ENSG00000287016,0.729930825
ENSG00000116586,0.729700911
ENSG00000156049,0.729238291
ENSG00000176171,0.728814909
ENSG00000287216,0.728681253
ENSG00000087086,0.727471557
ENSG00000167862,0.727444716
ENSG00000172531,0.727203457
ENSG00000125144,0.72645795
ENSG00000158825,0.725747356
ENSG00000162444,0.725715011
ENSG00000205155,0.725620844
ENSG00000128610,0.725602751
ENSG00000130768,0.725278084
ENSG00000117691,0.725139933
ENSG00000182154,0.721951959
ENSG00000162975,0.720743687
ENSG00000008735,0.720111068
ENSG00000136522,0.719728031
ENSG00000134326,0.718884498
ENSG00000099901,0.71876749
ENSG00000148826,0.718254828
ENSG00000214725,0.717995582
ENSG00000172172,0.717878206
ENSG00000233276,0.71772626
