,Condition_A,Condition_B,Condition_C,Condition_D,Condition_E,Condition_F,Condition_G
ENSG00000266964,-0.241957039,-0.243694396,-0.119941235,-2.268779644,-0.650517486,-0.455842661,-1.554617172
ENSG00000227256,-0.340525774,-0.349165968,-0.564638542,-2.268616151,-0.433881773,-0.061083463,-0.745449686
ENSG00000279463,0.326663205,-0.192979021,-0.451683456,-2.26834965,-1.861476053,-1.4114942,-4.101711118
ENSG00000215571,-0.62100996,-0.980970436,-0.112540964,-2.267336402,0.300445672,-0.33475866,-3.082412727
ENSG00000223861,-0.953934617,-1.424093036,-0.737832896,-2.261179281,-1.482207678,-2.5676381,-3.335669236
ENSG00000201850,-1.584649028,-1.315798338,-1.583166977,-2.258027965,-1.840254124,-2.82725062,-1.485750053
ENSG00000213600,0.105507816,-0.416479733,-0.38541868,-2.257495473,-0.210121937,-0.370644321,-2.015065241
ENSG00000135638,-2.316657816,-2.226585333,-2.542807414,-2.2555414,-3.073224107,-3.241262079,-1.907595275
ENSG00000207200,-0.670598591,-1.079443161,-0.435683263,-2.25185363,-2.157135442,-1.2561836,-2.51516678
ENSG00000243446,0.17690022,1.010291731,0.766937575,-2.248896074,-0.960222626,-0.039465613,-1.021130376
ENSG00000228008,-1.250596965,-1.315618415,-0.952402996,-2.243918826,-0.524517136,-1.539755759,-1.899549649
ENSG00000205560,-0.108799833,-0.010035823,-0.313459812,-2.243367156,-0.29382229,-0.618160697,-1.275639856
ENSG00000256657,-1.091036698,-0.825255365,-0.79427144,-2.242930758,-1.693824458,-1.870094621,-2.430775261
ENSG00000266126,0.639389884,1.249967493,0.863009922,-2.240182398,1.094562373,0.70539474,-0.059962457
ENSG00000279619,-0.537179351,-0.426485783,-0.260511535,-2.239481393,-0.784839626,-0.746600543,-2.069246652
ENSG00000181097,0.219033625,-0.326634111,-0.427152501,-2.238594196,-0.037466004,-0.795966952,-0.501122742
ENSG00000248015,-0.946738106,-0.494147075,-0.747724765,-2.238492459,-0.177195546,-0.628010257,-2.121394848
ENSG00000225499,-2.146868576,-3.206987422,-3.279687157,-2.237246969,-0.590129832,-0.981420396,-1.453016755
ENSG00000224057,-0.275131569,-0.046250755,-0.688720169,-2.235886799,-0.134459351,-0.004239159,-0.296613569
ENSG00000267385,-1.174931256,-1.360277301,-0.99279043,-2.234388994,-0.343951979,-1.253916007,-1.655541052
ENSG00000160678,-0.311206289,0.123085986,0.061970254,-2.234084053,-0.003564272,-0.274046225,-1.32443266
ENSG00000229054,-0.467464068,-0.880438518,-1.527356455,-2.233890427,-0.789636597,-1.276555578,-1.042857324
ENSG00000235864,1.53957391,-0.050981694,-0.047337071,-2.226150352,-0.973422862,0.310384367,-4.204630366
ENSG00000139304,-0.646420022,-2.255353423,-0.771390912,-2.224704108,-0.784462086,-0.135461656,-1.860657863
ENSG00000279330,-2.604469533,-2.296767896,-3.808341247,-2.221843972,-2.81484062,-1.68304464,-1.237150633
ENSG00000225653,-1.035684058,-0.77658951,-1.211449648,-2.214374556,-1.676275708,-2.630649384,-2.867196679
ENSG00000125726,-3.290730651,-3.346219066,-0.630363627,-2.212164423,-4.39487525,-2.150347972,-3.293708549
ENSG00000205592,0.173408164,0.61543024,0.470043745,-2.21044196,-0.121100311,-1.075474786,-1.993380391
ENSG00000091138,-1.400506791,-0.751298216,-1.494056582,-2.210433981,-0.949129139,-2.761043848,-1.507716095
ENSG00000288234,-1.124818624,-0.920101524,-0.910392892,-2.210365885,-0.68870693,-1.564337189,-1.830287703
ENSG00000228510,-2.572366816,-1.632040772,0.097767425,-2.210330385,-1.305239894,-0.516338022,-2.677717821
ENSG00000154760,-4.017649912,-3.724923391,-3.686398462,-2.203552851,-2.18299415,-3.339578416,-2.052432849
ENSG00000276757,0.62735116,0.662888565,0.533913207,-2.201473602,0.275270859,0.631548152,-0.335870371
ENSG00000259720,-1.255073654,-1.890419858,-1.04871423,-2.194824759,-2.024933173,-2.128444907,-1.443284165
ENSG00000280387,-1.034772606,-0.937809177,-1.0189097,-2.193544281,-0.071385851,-0.501361646,-1.63124417
ENSG00000248393,-0.397187962,-0.168603683,-0.442063537,-2.193478283,-1.107048884,-0.702346194,-2.35064846
ENSG00000231794,-0.64213801,0.250179383,0.203972191,-2.192659164,-0.009562949,-0.74787585,-0.20195692
ENSG00000285766,-0.192492903,-0.521029314,-1.351306745,-2.192490057,-0.349057908,-0.358438765,-2.469272444
ENSG00000183785,-0.342165493,-0.397656197,-0.95455955,-2.192145651,-1.377145683,0.180664612,-1.062639245
ENSG00000274238,-0.894263976,-0.960545564,-0.130192596,-2.18869628,-1.404726026,-3.524216529,-2.094158293
ENSG00000276763,-0.519616201,-0.170726467,-0.295855008,-2.187184237,-0.305339118,-0.023484915,-1.174646789
ENSG00000069764,-1.10601447,-2.042590975,-0.901399242,-2.181420498,-0.870250041,-0.440945555,-1.274736378
ENSG00000158901,-0.651089941,-0.658089635,-0.806603428,-2.180984848,-0.296231655,-0.548369873,-1.88106448
ENSG00000249518,0.293878394,0.537678368,0.605682172,-2.180900261,0.556513814,0.356921295,-1.854977867
ENSG00000264862,-0.233459715,-0.36572821,-0.265421383,-2.180735897,-0.023008393,-0.31145971,-0.356334216
